Year,Watershed,County,Crop,TrialType,TrialDetail,YieldDifference,TrialID,TrialReport,StalkNitrateReport,ScoutingReport
2007,Upper Wapsipinicon,Chickasaw,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,9.3,ST2007128A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,13.2,ST2007129A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,9,ST2007129B,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Corn,Crop Protection - Insecticide,Regent vs Untreated,3,ST2007130A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Soybeans,Plant Nutrition - Seed Treatment,Launcher Pro-inclulant vs Untreated,1.8,ST2007131A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,1.6,ST2007131B,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Soybeans,Plant Nutrition - Seed Treatment,Launcher Pro-inclulant vs Untreated,1.1,ST2007132A,y,n,n
2007,South Skunk,Hamilton,Corn,Crop Protection - Fungicide,Stratego vs Untreated,1.8,ST2007134A,y,n,n
2007,North Raccoon,Calhoun,Corn,Crop Protection - Fungicide,Quilt vs Untreated,1.8,ST2007136A,y,n,n
2007,North Raccoon,Calhoun,Corn,Crop Protection - Fungicide,Quilt vs Untreated,5,ST2007136B,y,n,n
2007,North Raccoon,Calhoun,Corn,Crop Protection - Fungicide,Quilt vs Untreated,4.8,ST2007136C,y,n,n
2007,North Raccoon,Calhoun,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,1.8,ST2007137A,y,n,n
2007,Lower Des Moines,Mahaska,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,1.3,ST2007138A,y,n,n
2007,Skunk,Louisa,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,2.9,ST2007141A,y,n,n
2007,Lower Iowa,Louisa,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,4.3,ST2007143A,y,n,n
2007,Blackbird-Soldier,Harrison,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,0.7,ST2007145A,y,n,n
2007,Little Sioux,Harrison,Corn,Crop Protection - Fungicide,Stratego vs Untreated,6,ST2007146A,y,n,n
2007,Boyer,Harrison,Corn,Crop Protection - Fungicide,Stratego vs Untreated,-2.9,ST2007147A,y,n,n
2007,South Skunk,Boone,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,4.4,ST2007149A1,y,n,n
2007,South Skunk,Boone,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,3.4,ST2007149A2,y,n,n
2007,South Skunk,Boone,Corn,Crop Protection - Fungicide,Headline vs Untreated,2.6,ST2007149B,y,n,n
2007,South Skunk,Boone,Corn,Crop Protection - Fungicide,Stratego vs Untreated,10.5,ST2007149C,y,n,n
2007,South Skunk,Boone,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,2.6,ST2007149D,y,n,n
2007,South Skunk,Boone,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,1.6,ST2007150A,y,n,n
2007,South Skunk,Boone,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,1.1,ST2007150B,y,n,n
2007,South Skunk,Boone,Corn,Crop Protection - Fungicide,Stratego vs Untreated,-1.3,ST2007151A,y,n,n
2007,Upper Des Moines,Humboldt,Corn,Crop Protection - Fungicide,Headline vs Untreated,3.5,ST2007152A,y,n,n
2007,Middle Des Moines,Humboldt,Corn,Crop Protection - Fungicide,Headline vs Untreated,2.1,ST2007153A,y,n,n
2007,Middle Des Moines,Humboldt,Corn,Crop Protection - Fungicide,Quilt vs Untreated,7.8,ST2007154A,y,n,n
2007,Middle Des Moines,Humboldt,Corn,Crop Protection - Fungicide,Quilt vs Untreated,0.7,ST2007155A,y,n,n
2007,Middle Des Moines,Humboldt,Corn,Crop Protection - Fungicide,Stratego vs Untreated,3.8,ST2007156A,y,n,n
2007,North Raccoon,Greene,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,2.6,ST2007158A,y,n,n
2007,North Raccoon,Greene,Corn,Crop Protection - Fungicide,Stratego vs Untreated,4.9,ST2007159A,y,n,n
2007,North Raccoon,Greene,Corn,Crop Protection - Fungicide,Stratego vs Untreated,2.7,ST2007159B,y,n,n
2007,North Raccoon,Greene,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,0.5,ST2007160A,y,n,n
2007,North Raccoon,Greene,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,0.7,ST2007160B,y,n,n
2007,One Hundred and Two,Adams,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,7.8,ST2007175A,y,n,n
2007,Upper Iowa,Hardin,Corn,Crop Protection - Fungicide,Stratego vs Untreated,6.3,ST2007177A,y,n,n
2007,South Skunk,Mahaska,Corn,Crop Protection - Fungicide,Quilt vs Untreated,2.5,ST2007182A,y,n,n
2007,Lower Des Moines,Mahaska,Corn,Crop Protection - Fungicide,Quilt vs Untreated,4.6,ST2007183A,y,n,n
2007,South Skunk,Mahaska,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,2.4,ST2007184A,y,n,n
2007,Lower Des Moines,Mahaska,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,9.1,ST2007185A,y,n,n
2007,Lower Iowa,Louisa,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,5.1,ST2007187A,y,n,n
2007,Lower Iowa,Louisa,Corn,Crop Protection - Fungicide,Quilt vs Untreated,3.9,ST2007188A,y,n,n
2007,Boone,Hamilton,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,2.5,ST2007191A,y,n,n
2007,East Fork Des Moines,Emmet,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,1.1,ST2007193A,y,n,n
2007,Skunk,Keokuk,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,5.8,ST2007194A,y,n,n
2007,Boone,Hamilton,Corn,Crop Protection - Fungicide,Quilt vs Untreated,3.6,ST2007197A,y,n,n
2007,North Raccoon,Greene,Corn,Crop Protection - Fungicide,Stratego vs Untreated,5.6,ST2007198A,y,n,n
2007,Little Sioux,Clay,Corn,Crop Protection - Fungicide,Quilt vs Untreated,3.6,ST2007199A,y,n,n
2007,Lower Iowa,Washington,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,3.4,ST2007200A,y,n,n
2007,Upper Iowa,Hardin,Corn,Crop Protection - Fungicide,Quilt vs Untreated,9.7,ST2007204A,y,n,n
2007,Skunk,Mahaska,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,2.9,ST2007207A,y,n,n
2007,North Raccoon,Greene,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,1.8,ST2007211A,y,n,n
2007,North Raccoon,Greene,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,2.9,ST2007212A,y,n,n
2007,North Raccoon,Greene,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,3.3,ST2007212B,y,n,n
2007,Flint-Henderson,Des Moines,Corn,Crop Protection - Fungicide,Headline vs Untreated,5.2,ST2007213A,y,n,n
2007,Flint-Henderson,Des Moines,Corn,Crop Protection - Fungicide,Headline vs Untreated,2.4,ST2007214A,y,n,n
2007,Flint-Henderson,Des Moines,Corn,Crop Protection - Fungicide,Headline vs Untreated,4.2,ST2007215A,y,n,n
2007,Flint-Henderson,Des Moines,Corn,Crop Protection - Fungicide,Headline vs Untreated,5,ST2007216A,y,n,n
2007,Skunk,Henry,Corn,Crop Protection - Fungicide,Headline vs Untreated,8.4,ST2007217A,y,n,n
2007,Skunk,Henry,Corn,Crop Protection - Fungicide,Headline vs Untreated,3.3,ST2007218A,y,n,n
2007,Skunk,Henry,Corn,Crop Protection - Fungicide,Headline vs Untreated,0.5,ST2007219A,y,n,n
2007,Skunk,Des Moines,Corn,Crop Protection - Fungicide,Headline vs Untreated,0.4,ST2007220A,y,n,n
2007,Skunk,Des Moines,Corn,Crop Protection - Fungicide,Headline vs Untreated,4.4,ST2007221A,y,n,n
2007,Flint-Henderson,Des Moines,Corn,Crop Protection - Fungicide,Headline vs Untreated,1.1,ST2007222A,y,n,n
2007,Skunk,Henry,Corn,Crop Protection - Fungicide,Headline vs Untreated,5.6,ST2007223A,y,n,n
2007,Lower Iowa,Louisa,Corn,Crop Protection - Fungicide,Headline vs Untreated,4.1,ST2007224A,y,n,n
2007,Lower Iowa,Louisa,Corn,Crop Protection - Fungicide,Headline vs Untreated,2,ST2007225A,y,n,n
2007,Flint-Henderson,Des Moines,Corn,Crop Protection - Fungicide,Headline vs Untreated,3.3,ST2007226A,y,n,n
2007,Flint-Henderson,Des Moines,Corn,Crop Protection - Fungicide,Headline vs Untreated,5.5,ST2007227A,y,n,n
2007,Flint-Henderson,Des Moines,Corn,Crop Protection - Fungicide,Headline vs Untreated,4.5,ST2007228A,y,n,n
2007,Flint-Henderson,Des Moines,Corn,Crop Protection - Fungicide,Headline vs Untreated,1.9,ST2007229A,y,n,n
2007,Flint-Henderson,Des Moines,Soybeans,Crop Protection - Fungicide,Domark vs Untreated,1.4,ST2007229B,y,n,n
2007,Middle Des Moines,Greene,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,2.4,ST2007231A,y,n,n
2007,North Raccoon,Greene,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,1.6,ST2007233B,y,n,n
2007,North Raccoon,Greene,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,2.2,ST2007234A,y,n,n
2007,North Raccoon,Greene,Corn,Crop Protection - Fungicide,Headline vs Untreated,3,ST2007235A,y,n,n
2007,Blackbird-Soldier,Harrison,Corn,Crop Protection - Fungicide,Headline vs Untreated,10.9,ST2007236A,y,n,n
2007,Upper Iowa,Hardin,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,3.2,ST2007237A,y,n,n
2007,Middle Des Moines,Boone,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,1.9,ST2007239A,y,n,n
2007,North Raccoon,Sac,Corn,Crop Protection - Fungicide,Quilt vs Untreated,4.9,ST2007243A,y,n,n
2007,North Raccoon,Sac,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,0.9,ST2007244A,y,n,n
2007,Turkey,Howard,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,5.6,ST2007245A,y,n,n
2007,Tarkio-Wolf,Page,Corn,Crop Protection - Fungicide,Headline vs Untreated,3.1,ST2007248A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,1.1,ST2007249A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,2.2,ST2007251A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Corn,Crop Protection - Fungicide,Quilt vs Untreated,4.2,ST2007252A,y,n,n
2007,North Raccoon,Greene,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,6.9,ST2007253A,y,n,n
2007,North Raccoon,Greene,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,6,ST2007253B,y,n,n
2007,North Raccoon,Greene,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,2.4,ST2007254A,y,n,n
2007,South Skunk,Boone,Corn,Crop Protection - Fungicide,Headline vs Untreated,6.4,ST2007270A,y,n,n
2007,South Skunk,Boone,Corn,Crop Protection - Fungicide,Quilt vs Untreated,4.5,ST2007270B,y,n,n
2007,South Skunk,Boone,Corn,Crop Protection - Fungicide,Stratego vs Untreated,1.6,ST2007270C,y,n,n
2007,Middle Des Moines,Greene,Corn,Crop Protection - Fungicide,Headline vs Untreated,7.2,ST2007271A,y,n,n
2007,Middle Des Moines,Greene,Corn,Crop Protection - Fungicide,Quilt vs Untreated,7.1,ST2007271B,y,n,n
2007,Middle Des Moines,Greene,Corn,Crop Protection - Fungicide,Stratego vs Untreated,2.2,ST2007271C,y,n,n
2007,Upper Iowa,Hardin,Soybeans,Crop Protection - Seed Treatment,Apron Maxx vs Untreated,0.2,ST2007273A,y,n,n
2007,Upper Iowa,Hardin,Soybeans,Crop Protection - Seed Treatment,Cruiser Maxx vs Untreated,-0.5,ST2007273B,y,n,n
2007,Upper Iowa,Hardin,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,0.1,ST2007274A,y,n,n
2007,Upper Iowa,Hardin,Corn,Crop Protection - Fungicide,Stratego vs Untreated,0.5,ST2007274B,y,n,n
2007,South Skunk,Hardin,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,10.8,ST2007276A,y,n,n
2007,Upper Iowa,Hardin,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,12.8,ST2007277A,y,n,n
2007,Upper Iowa,Hardin,Corn,Crop Protection - Fungicide,Headline vs Untreated,0.1,ST2007277B,y,n,n
2007,Upper Iowa,Hardin,Corn,Crop Protection - Insecticide and Seed Trait,CRW vs Aztec,2.6,ST2007278A,y,n,n
2007,Upper Iowa,Hardin,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,10.8,ST2007279A,y,n,n
2007,South Skunk,Hardin,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,3,ST2007281A,y,n,n
2007,South Skunk,Hardin,Corn,Crop Protection - Fungicide,Stratego vs Untreated,6.7,ST2007281B,y,n,n
2007,Middle Cedar,Butler,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,11.1,ST2007285A,y,n,n
2007,Keg-Weeping Water,Shelby,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,14.2,ST2007289A,y,n,n
2007,Keg-Weeping Water,Shelby,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,2.8,ST2007289B,y,n,n
2007,West Nishnabotna,Shelby,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,6.5,ST2007291A,y,n,n
2007,Lower Iowa,Washington,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,-0.5,ST2007293A,y,n,n
2007,North Raccoon,Greene,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,0.7,ST2007295A,y,n,n
2007,North Raccoon,Greene,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,1,ST2007295B,y,n,n
2007,Middle Cedar,Hardin,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,5.9,ST2007314A,y,n,n
2007,Middle Cedar,Hardin,Corn,Crop Protection - Fungicide,Headline vs Untreated,7.3,ST2007315A,y,n,n
2007,Middle Cedar,Hardin,Corn,Crop Protection - Fungicide,Headline vs Untreated,2.3,ST2007316A,y,n,n
2007,Middle Cedar,Grundy,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,2.1,ST2007317A,y,n,n
2007,Upper Iowa,Hardin,Corn,Crop Protection - Insecticide,Lorsban vs Untreated,2.7,ST2007319A,y,n,n
2007,Upper Iowa,Hardin,Corn,Crop Protection - Insecticide,Lorsban vs Untreated,1.9,ST2007320B,y,n,n
2007,Upper Iowa,Hardin,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,20,ST2007321B,y,n,n
2007,Boone,Hamilton,Corn,Crop Protection - Fungicide,Quilt vs Untreated,0.1,ST2007322A,y,n,n
2007,South Skunk,Hamilton,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,0.7,ST2007323A,y,n,n
2007,Boone,Wright,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,9.6,ST2007324A,y,n,n
2007,Upper Des Moines,Palo Alto,Corn,Crop Protection - Fungicide,Quilt vs Untreated,2.1,ST2007325A,y,n,n
2007,North Raccoon,Greene,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,3.5,ST2007326A,y,n,n
2007,Middle Des Moines,Dallas,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,4.3,ST2007327A,y,n,n
2007,Middle Des Moines,Dallas,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,1.9,ST2007328A,y,n,n
2007,Upper Wapsipinicon,Buchanan,Corn,Crop Protection - Fungicide,Headline vs Untreated,16.2,ST2007332A,y,n,n
2007,Flint-Henderson,Louisa,Corn,Crop Protection - Fungicide,Headline vs Untreated,2.8,ST2007344A,y,n,n
2007,West Nishnabotna,Pottawattamie,Corn,Plant Nutrition - Nitrogen Timing,Fall vs Spring N,-9.4,ST2007352A,y,n,n
2007,Middle Cedar,Hardin,Corn,Crop Protection - Fungicide,Headline vs Untreated,4.2,ST2007354A,y,n,n
2007,One Hundred and Two,Taylor,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,-2.3,ST2007356A,y,n,n
2007,Skunk,Henry,Corn,Crop Protection - Fungicide,Headline vs Untreated,0.9,ST2007361A,y,n,n
